CustomerID,CustomerName,DOB,Gender,Address,PhoneNumber,Email,CreditScore,AccountCreatedDate
1,Alexandra Brown,1957-06-14,Female,"48618 Hansen Port, South Paul, AL 32160",(180)671-7614x97652,jeremyrichmond@ruiz.com,510,2023-08-19
2,Brian Lewis,1984-12-07,Male,"598 Adams Ridges Suite 957, Hodgesport, OH 85897",+1-071-406-0214x4141,james83@acevedo.info,507,2021-01-06
3,Christy Cobb,2004-07-09,Female,"1117 Dalton Burgs Apt. 008, New Stevenhaven, IA 02909",001-067-849-6988x2549,bentoncrystal@hotmail.com,360,2020-04-25
4,James Smith,1979-06-06,Male,"21825 Parker Crescent Apt. 246, Schwartzside, DC 70915",967-460-4484,james46@williams.com,575,2024-02-26
5,Kenneth Waters,1989-04-03,Male,"146 Jason Burg, Joyborough, NV 26624",001-712-539-6433x7715,brownlaura@hotmail.com,807,2017-09-04
6,Bryan Ramos,1981-03-08,Male,"89656 Johnson Coves, North Catherinechester, IA 52166",1079611284,amanda06@gmail.com,465,2022-02-27
7,Caitlin Cooper MD,1962-08-14,Male,"906 Katherine Heights, Shannonberg, NY 69384",8992387090,matthew05@hotmail.com,802,2024-01-16
8,Anthony Fisher,2004-03-10,Male,"95399 Michael Inlet Suite 702, West Sherrytown, FL 17624",(094)766-4572x6365,patrickkelley@hotmail.com,345,2015-11-30
9,Dale Miles,1971-08-04,Female,"2918 John Knoll, Gillside, AK 88422",001-769-126-8756x5262,nortonteresa@yahoo.com,661,2016-10-30
10,Michael Vazquez,1989-05-23,Male,"5458 Patricia Valleys, Brianport, VT 02245",001-436-266-6017x47250,fowlermichael@yahoo.com,777,2021-02-25
11,Carlos Villanueva,1983-05-18,Male,"7385 Fitzpatrick Locks, Bethanymouth, SD 92534",+1-706-607-2535x1576,allisonmorris@bradley.org,348,2017-06-17
12,Dylan Barrera,1976-04-08,Female,"295 Sanchez Bypass Suite 599, South Adam, NC 34647",(376)834-5746,cynthia67@yahoo.com,758,2025-03-08
13,Jose Washington,1973-03-27,Male,"7273 Mike Mount, Davisburgh, TN 56676",(117)645-2368x2852,ksilva@smith-anderson.com,510,2019-11-09
14,Robert Ayers,1994-11-07,Male,"891 Beverly Ports Suite 502, Port Kathyburgh, ID 06325",001-085-958-8330x2255,tranmargaret@gmail.com,460,2017-04-05
15,Katie Rojas,1985-01-02,Male,"38813 Briggs Ford Suite 753, Dianeton, SD 03400",8041804035,hernandezmary@tran.biz,828,2015-09-28
16,Jason Bullock,1987-05-17,Female,"67672 Phillip Fall, Wilsonhaven, IN 79647",001-503-144-8126x07187,julie01@nelson.org,497,2023-12-23
17,Joseph Miller,1972-09-24,Male,"134 White Mews, West Deborah, DE 81458",001-665-519-2765,laceydeleon@gonzalez-cole.com,468,2024-07-03
18,Felicia Ingram,1959-12-26,Male,"10030 Callahan Dale, Lake Megan, MN 41434",986-650-3180x942,karen52@yahoo.com,445,2022-02-18
19,Paula Vargas,1977-07-28,Male,"009 Walker Keys, Mcdonaldstad, FL 43261",614-225-2455x57772,pthomas@hotmail.com,396,2023-09-23
20,Rick Smith,1983-09-04,Male,"115 David Ways Suite 171, Peterberg, MT 23255",001-339-774-7790,christina48@johnson.com,776,2020-10-01
21,Lisa Zavala,1976-07-17,Female,"PSC 0928, Box 6749, APO AP 34757",888.664.3721,maria17@yahoo.com,656,2022-12-26
22,Hayden Foster,2000-07-29,Male,"Unit 3754 Box 2666, DPO AP 15424",(534)014-0301,nicholas58@gmail.com,435,2022-04-20
